Type,,,,,,,,,,,,,,,,,,,,,,,,,
compound,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
compound,A,A001,A002,A003,A004,A005,A006,A007,A008,A009,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024
compound,B,A025,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,L001
compound,C,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025
compound,D,L026,L027,L028,L029,L030,L031,L032,L033,L034,L035,L036,L037,L038,L039,L040,L041,L042,L043,L044,L045,L046,L047,L048,L049
compound,E,L050,L051,L052,L053,L054,L055,L056,L057,L058,L059,L060,L061,L062,L063,L064,L065,L066,L067,L068,L069,L070,L071,L072,L073
compound,F,L074,L075,L076,L077,L078,L079,L080,L081,L082,L083,L084,L085,L086,L087,L088,L089,L090,L091,L092,L093,L094,L095,L096,L097
compound,G,L098,L099,L100,L101,L102,L103,L104,L105,L106,L107,L108,MWA001,MWA002,MWA003,MWA004,MWA005,MWA006,MWA007,MWA008,MWA010,MWA011,MWA013,MWA014,MWA015
compound,H,MWA016,MWA017,MWA018,MWA020,MWA021,MWB001,MWB002,MWB003,MWB004,MWB005,MWB006,MWB007,MWB008,MWB009,MWB011,MWB012,MWB013,MWB014,MWB015,MWB016,MWB017,MWB019,MWC001,MWC002
compound,I,MWC003,MWC004,MWC005,MWC006,MWC007,MWC008,MWC009,MWC010,MWC011,MWC012,MWC013,MWC014,MWC015,MWC016,MWC017,MWC018,MWC019,MWC020,MWC021,MWC022,MWC023,MWC024,MWC025,MWC026
compound,J,MWC027,MWC028,MWC029,MWC030,MWC031,MWC032,MWC033,MWC034,MWC035,MWC036,MWC037,MWC038,MWC039,MWC040,MWC041,MWC042,MWC043,MWC044,MWC045,MWC046,MWC047,MWC048,MWC049,MWC050
compound,K,MWC051,MWC052,MWC053,MWC054,MWC055,MWC056,MWC057,MWC058,MWC059,MWC060,MWC061,MWC062,MWD01,MWD02,MWD03,MWD04,MWD05,MWD06,MWD07,MWD08,MWD09,MWD10,MWD11,MWD12
compound,L,MWD13,MWD14,MWD15,MWD16,MWD17,MWE01,MWE02,MWE03,MWE04,MWE05,MWE06,MWE07,MWE08,MWE09,MWE10,MWE11,MWE12,MWE13,MWE14,MWF01,MWF02,MWF03,MWF04,MWF05
compound,M,MWF06,MWF07,MWF08,T001,T002,T004,T008,T009,T010,T011,T014,T016,T027,TW383,TW384,TW385,TW392,TW408,TW409,TW418,TW419,TW495,AW131,AW132
compound,N,AW134,TX011,TX012,TX014,TX017,TX018,TX019,TX020,TX021,TX022,TX023,TX024,SYPRO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
compound,O,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
compound,P,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
concentration,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
concentration,A,5,50,50,50,50,50,50,0.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,B,3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,C,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0.5,50,50,0.5,0.5
concentration,D,50,50,0.5,0.5,0.5,0.5,50,50,0.5,50,50,50,50,50,50,0.5,50,0.5,0.5,0.5,0.5,0.5,0.5,0.5
concentration,E,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50,0.5,0.5,0.5,50,50,50,50,50,50,50,50,5,50,50,50,0.5
concentration,F,50,50,50,0.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0.5,50,50,50,50,50
concentration,G,50,50,50,0.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,H,50,50,50,50,50,50,0.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,I,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,J,50,50,50,0.5,50,50,0.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,K,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,L,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
concentration,M,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
